ID,Group,Sex,Session,Trial,Change,FoodSide,CorrectIncorrect,Delay,VisualBlock,RepeatTot,ITI,ReacTime,Side,Front,Locomotion,Pace,Anxiety,Vocalization,Threat,Fear,Affiliative,Locomotion_ITI,Pace_ITI,Anxiety_ITI,Vocalization_ITI,Threat_ITI,Fear_ITI,Affiliative_ITI
zp11,mother,male,1,2,0,L,1,3,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,3,1,R,0,3,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,4,0,R,0,3,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,5,0,R,0,3,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp11,mother,male,1,6,0,R,1,1,1,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp11,mother,male,1,7,0,R,1,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,8,1,L,1,1,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,9,0,L,1,1,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,10,0,L,1,1,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,11,1,R,1,1,1,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,12,0,R,1,2,1,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,13,0,R,1,2,1,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,14,1,L,1,2,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,15,0,L,1,2,1,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,1,16,0,L,1,2,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
