ID,Group,Sex,Session,Trial,FoodSide,CorrectIncorrect,Delay,VisualBlock,RepeatTot,ITI,ReacTime,Side,Front,Locomotion,Pace,Anxiety,Vocalization,Threat,Fear,Affiliative,Locomotion_ITI,Pace_ITI,Anxiety_ITI,Vocalization_ITI,Threat_ITI,Fear_ITI,Affiliative_ITI,
zp11,mother,male,2,21,R,1,2,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,2,22,R,0,5,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,2,23,L,1,4,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp11,mother,male,2,24,R,0,4,1,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,1,L,1,4,1,0,,0,1,1,0,0,0,0,0,0,0,,,,,,,,
zp01,mother,female,1,2,R,1,2,1,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,3,L,1,6,1,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,4,L,1,2,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,5,L,1,2,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,6,L,1,6,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,7,L,1,3,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,8,R,1,2,1,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,9,R,1,4,1,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,10,R,1,4,1,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,11,L,1,3,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,12,R,0,3,1,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,13,R,0,5,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
zp01,mother,female,1,14,L,1,3,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,15,L,1,1,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
zp01,mother,female,1,16,L,1,4,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,17,L,1,4,1,0,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,18,L,1,1,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,19,R,1,2,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,20,R,0,3,1,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,21,R,0,5,1,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
zp01,mother,female,1,22,R,1,6,1,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
zp01,mother,female,1,23,L,1,5,1,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,1,24,L,1,5,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp01,mother,female,2,1,R,1,3,1,0,,0,3,1,0,0,0,0,1,0,0,,,,,,,,
zp01,mother,female,2,2,R,1,6,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
